ID,txt,Label
0,"Kay Pollak's 2004 heart-warmer Så som i himmelen/ As it is in Heaven contains every stereotype of Swedish humanity and inhumanity yet manages to be a crowd-pleaser. It contains plenty of ammunition for cynical critics, continuity error-spotters and for saccharine-debunkers, yet manages to depict the colours of life in a small community evocatively. The film also runs the gamut of proverbial messages about 'finding one's own voice' and 'just doing it despite one's fear', without completely removing the lump from the throats of the cynics.<br /><br />Its success as a crowd pleaser comes from two facts. Firstly, small films about strangers bringing new life to rural Christian communities provide plenty of scope for the exposure of hypocrisy while at the same time allowing repressed characters to break out of their hairshirts. The same year and with a similarly Swedish breeze, The Queen of Sheba's Pearls did it, and Babette's Feast also comes to mind. Secondly, any film about small communities taking on the whole wide world will strike a human chord in our increasingly individual/self- focused and impersonalized world. This film's structural similarity with the likes of The Full Monty, Brassed Off, Calendar Girls and On a Clear Day shows its indebtedness to the formula. But it is a formula with life left in it yet, and this seems to be because people need positive- message films that evoke a sense of community almost in spite of themselves.<br /><br />The stranger is burned-out maestro Daniel Daréus on a quest for self-rediscovery. The town he visits, or rather revisits, is, unbeknownst to the townsfolk, the place of his childhood. He was bullied mercilessly by classmates here, supposedly because he was a sensitive musician without aspiration to drive a truck. Here, he takes the job of cantor/choirmaster, despite the usual suspicions of artists and outsiders. The place is, of course, populated by a wide range of recognizable types whose character arcs can be predicted: the broken-hearted, fair-haired girl so beautiful she nearly glows; the cellphone-ringing local businessman; the woman whose beauty is lost amidst domestic abuse; the steely pastor and his less austere wife, who at first seem right out of Ingmar Bergman. Also present: jealous, uptight spinster (Siv) (check); geriatric whose soul still sings (check); elderly couple who may have repressed desires for each other since kindergarten (check); obese person whose function is to point out we should not laugh and say 'fatty' (check); intellectually handicapped boy who proves able to sing a good 'A' (check).<br /><br />Pollak's film is not all warm fuzzies, however. It diverts from the 'let's put on a show despite setbacks and moral opposition' sub-genre. It contains violence and an ending that might well be a metaphor for dying after achieving creative nirvana. The violence of the film is mostly a function of male anger and repression, but in never delves deeply into why the school bully who grows up into a wife beater is like this. Similarly, the small town Pastor so closely adheres to the moralistic, black-wearing super-Protestant stereotype, that his secret indulgence in girlie magazines is hardly surprising. His repressions and hypocrisies are just there, dangling unrelated to psychological reality. Perhaps the unexplained photograph of a young boy, a lost son perhaps, glimpsed once over his shoulder, holds the secret.<br /><br />Perhaps these holes are functions of the editing, like several inconsistencies and continuity glitches that can be spotted, such as Siv's unexplained reappearance in the choir (twice) after moralistic outbursts. In fact none of the hitches in the film last very long and all seem resolved within a scene. Apart from in some awkward love scenes, the film's 127 minutes seldom drag, but there is a feeling that things may have been left on the cutting room floor.<br /><br />The film remains solid three-star-fare despite the holes that can be picked in it. This is simply because in a world of technology-focused flicks and materialistic self-seeking, any glimpse of human community is, deep down, welcome for anyone, even the cynical.",1
1,"This is an excellent film, with an extraordinary cast and acting. I was very disappointed with the Academy Awards when this didn't get the Oscar for best film and for best actress (Woopi Goldberg)... it certainly deserved it. In any case, take a look at it. i am sure you will enjoy it very much.",1
2,"Victor McLaglen, the title character of John Ford's THE INFORMER, reminded me of the circus man from Fellini's LA STRADA. Anthony Quinn played the brutish man, who may have even been influenced by the pug-faced, Oscar-winning performance given by McLaglen. Poverty-stricken Dublin is the true-life, atmospheric setting of the picture, which takes place in 1922. Dense fog and a long damp night are the main elements of a story about deep Irish patriotism and the fight of the Irish Republican Army. The conflict of individuality and the cause is what makes THE INFORMER tick. McLaglen's large, simple character just wants to go to America and we're reminded by signs of the price for a ticket frequently. Two different signs become the psychological centerpiece for the drunken Irishman. One is the previous, the other a WANTED sign. Should he do it and get the money to go?<br /><br />John Ford once famously said, ""My name is Ford. I make Westerns."" After seeing this film, he obviously could do a heck of a lot more. The serious social issues dealt with here are heartfelt and ones you will find yourself thinking about. And the look of the piece is amazing, consisting of long dark shadows cutting into a miserable Ireland night. Ford was always known for his luminescent, gorgeous cinematography that helped to foresee the conflicts within his characters. This is hard in color, but he did it in pictures like THE SEARCHERS, painting John Wayne in a sometimes vicious manner. Victor McLaglen's performance not only benefits from the lighting, but by the sheer simplicity of his acting. He shoves a lot. He knocks people out. He is a brute who knows no better. He should, however, know whether or not to cross the IRA.<br /><br />See the film to find out the gritty details. See it also for McLaglen and Ford's patriotic portrayal of the IRA. Max Steiner's score is innovative in how it matches gestures of the characters, placing more emphasis on them. This was usually only seen in silent films, especially Chaplin. The topic of naming names or ""informing"" is obviously still important. Just look at how the media covered this year's Oscars, giving much attention to the Elia Kazan scandal.",1
3,"<br /><br />As with the other episodes in this made-for-TV series expanding on the many adventures of the sea legend, Horatio Hornblower's super human infallibility ruins all chance for suspense.<br /><br />As little Wesley Crusher ruined many seasons of THE NEXT GENERATION, Horatio Hornblower invincibly saves every situation. Each and every clever solution inevitably comes only from the lips of Horatio Hornblower. Immeasurably superior, Hornblower's main trouble in this movie series seems to be tolerating the many error ridden characters above and below him in the chain of command. A perfect being makes for dull story telling. So superior is our hero, that even those who attempt to help him are powerless to do something correctly unless Hornblower is there to direct and control their every move.<br /><br />What is the sense in telling a story about any person who cannot do wrong and will repeatedly win at everything every single time? What is the point of watching such a story?",0
4,"Eight academy nominations? It's beyond belief. I can only think it was a very bad year - even by Hollywood standards. With Huston as director and Jack Nicholson and Kathleen Turner as leads I probably would have swallowed the bait and watched this anyway, but the Oscar nominations really sold it to me, and I feel distinctly cheated as a result.<br /><br />So it's a black comedy is it? Can anyone tell me where the humour is in Prizzi's Honor? It's certainly tasteless (the shooting in the head of a policeman's wife is but another supposedly comic interlude in this intended farce about mafia life) but with the exception of a joke about 'your favourite Mexican cigars' (which I imagine is an old joke for Americans who have been officially forbidden from buying anything Cuban for the last 50 years) I failed to spot anything of a comic nature - and I did try. There is a lot of Mafia cliché but cliché doesn't constitute humour in my book.<br /><br />Is it a romantic comedy of sorts? Never. The characters and their relationships are so completely incredible and shallow that they are on a par with Ben Afleck and Jennifer Lopez in Gigli.<br /><br />Is it a cleverly devised parody about the Mafia? Not in a million years. The plot is just pointlessly absurd rather than comically absurd, and it usually just has the feel of a really bad (and cheap) Mafia movie. It feels more like a homage than a parody.<br /><br />With one-dimensional characters and little in the way of humour written for them, the actors are left doing dodgy accents and pulling faces. Well it isn't enough; even when the face is being pulled by that master of the comic facial expression, Jack Nicholson (repleat with puffed up top lip ... now is that meant to be a parody of Brando's padded jowls in The Godfather?... Oh! Who cares?... all I know is, it isn't funny).<br /><br />Throw in some slow, plodding direction (this film drags on for 2 hours), some hopelessly daft and clichéd dialogue such as; ""You remember the Camora? Well we're far bigger, we'll track you down wherever you go"", and clichéd mannerisms and you'll be reaching for that fast forward button before you can say ""capiche?"". Prizzi's Honor is far from being Huston's ""masterpiece"" and is rather a very poor last work. It's definitely one work in the great director's canon that should be given a concrete overcoat and tossed into the Hudson River.",0
5,"I'll come clean. The only reason I even found out about this DVD was because Dominic Monaghan is a favorite actor of mine. When I heard the title of the film, I thought it was going to be...different, perhaps in not such a good way.<br /><br />But I was wrong. After reading what few reviews were out there about this short, I was actually excited about seeing it. I sent off for my copy as soon as able and received it a few weeks later. Needless to say, I was not disappointed.<br /><br />The film follows Jack, a insomniac who is often plagued by conditions which causes him to doubt what is reality, and what is all in his head. I won't give away what happens, but I will tell you that the film can sometimes be frightening in it's realism.<br /><br />The directing is fantastic, focusing on what is essential to the story without allowing it to lose any entertainment or thought-provoking moments.<br /><br />All in all, I give this great film 9 out of 10, for going far beyond what I thought any short could achieve.",1
6,"Okay I must say that before the revealing of the 'monster'. saying that he really didn't fit into that category, just some weird thing that had an annoying screech! And personally I think a granny could have ran away from that thing, but anyway. I actually was getting into this film, although having the main character a drunk and a heroine addict didn't come as an appeal. But such scenes as when she runs away from the train, and you can see the figure at the door was kind of creepy, also where the guard had just been killed and the 'monster' put his hand on the screen.<br /><br />But then disaster stuck form the moment the monster was revealed it just became your average horror, with limited thrills or scares. Slowly I became more bored, and wanted to shut the thing off. I like most people have said was rooting for the homeless people to make it, specially the guy, he gave me a few cheap laughs here and there. I think this film could have really been something special instead it became what every other horror nowadays are! Just boring and well not worth the money.<br /><br />if you are looking for a cheap scare here and there, or a mindless gore fest (which is limited, hardly any in fact) by all means give it a go, but for all you serious horror watchers look somewhere else, much better films out there.",0
7,"This is probably the first entry in the ""Lance O'Leary/Nurse Keat"" detective series; in subsequent O'Leary films, he was played by much younger actors than Guy Kibbee.<br /><br />A group of relatives (all played by well-known character actors) gathers in an old house (on a rainy nite, of course!) to speak to a wealthy relative, who goes into a coma.<br /><br />While they wait for him to recover, all sorts of mysterious goings-on happen, including a couple of murders.<br /><br />A creepy film; worth seeing!",0
8,"Anemic comedy-drama, an unhappy, seemingly rushed affair featuring Cher as a woebegone housewife who slowly makes friends with the hit-man who's been hired to kill her by her husband. Chazz Palminteri, as the talkative hired gun, adapted the screenplay from his own play, with stagy set-ups and back-and-forth dialogue that quickly tires the eye and ear. An air of gloom hangs over the entire project, and director Paul Mazursky can't get Cher out of her perpetual funk (she's listless). Despite all the top talent (including Robert De Niro as one of the producers), ""Faithful"" is fraudulent, with no substance to the story and characters who rarely come to life. *1/2 from ****",0
9,"Grand Central Murder (1942) Dir: S. Sylvan Simon <br /><br />Production: MGM <br /><br />This mediocre 'B' mystery was one of only five films released in 1942 with Simon as director. Surely he could have fit another Red Skelton film or two on his schedule! Anyway, Grand Central Murder is a shameless rip-off of the Thin Man films minus the wit, charm, and chemistry of the leads. We are treated to a paper thin plot that can barely support its 73 minutes, bad acting and weary gags.<br /><br />Van Heflin and Virginia Grey play Nick and Nora Char--er, Rocky and Butch Custer. He's a PI and she's his wife and sleuthing partner. They engage in ""humorous"" banter with each other. See? It's completely different already. Heflin's the only one here who hints at bigger and better things, although he's real close to being a jerk in this. Virginia Grey was in Another Thin Man, but again, let me stress, THIS FILM IS NOTHING LIKE THAT ONE, no sir. And just in case we start to think that this film is absolutely nothing like another film (say, THE THIN MAN) we actually like, Sam Levene pops up as the lead detective who's kind of dim and has to have Van Heflin subtly direct him toward all the important leads. Hmmm.<br /><br />Quickly, the 'murder' is that of bitchy schemer Mida King, who likes to trade up on rich men until she finds an even richer one. She's played by Patricia Dane, who's like a C- version of Hedy Lamarr, until she opens her mouth and turns into an F. There's a whole array of wacky suspects, all with their own motivation for wanting Mida dead. There's the society type, the tough talking dames, the thug, the ex-lover, and a shady theater impresario (Tom Conway, here saddled with the unlikely character name of 'Frankie Ciro'). Roman Bohnen plays a nervous, jittery type, something I believe he may have done before. Millard Mitchell plays an idiot cop who, in a running gag that won't quit, can't stop thinking about the piece of ass he's got waiting for him once this case gets wrapped up (that's right, Millard Mitchell, swordsman). Finally, in a completely ground breaking method of storytelling, something we've never seen before, all the suspects are gathered up in one place where they tell their stories (as flashbacks) to the detective, as Rocky takes mental notes, until eventually the guilty person is compelled to dramatically blurt out a confession.<br /><br />On top of the actual picture being a dud, I naively thought going in that there might be a couple of location shots of the actual 1942-era Grand Central, but alas, no. There's merely one very brief shot at the beginning. Thanks for nothing, Grand Central Murder. So, to sum up, a wee bit formulaic, but Heflin was okay.<br /><br />*½ out of 4",0
